Date,Incident Type,Severity
8/16/2023,Equipment Malfunction,Medium
8/17/2023,Equipment Malfunction,High
8/18/2023,Equipment Malfunction,Low
8/19/2023,Equipment Malfunction,Low
8/20/2023,Fall,High
8/21/2023,Equipment Malfunction,Low
8/22/2023,Slips,High
8/23/2023,Fall,Low
8/24/2023,Slips,Low
8/25/2023,Slips,High
8/26/2023,Slips,Low
8/27/2023,Equipment Malfunction,High
8/28/2023,Equipment Malfunction,Low
8/29/2023,Fall,Low
8/30/2023,Fall,Medium
8/31/2023,Equipment Malfunction,Medium
9/1/2023,Slips,High
9/2/2023,Fall,Medium
9/3/2023,Equipment Malfunction,High
9/4/2023,Equipment Malfunction,Medium
9/5/2023,Equipment Malfunction,Low
9/6/2023,Slips,High
9/7/2023,Equipment Malfunction,High
9/8/2023,Equipment Malfunction,Low
9/9/2023,Equipment Malfunction,High
9/10/2023,Equipment Malfunction,High
9/11/2023,Fall,Medium
9/12/2023,Fall,High
9/13/2023,Equipment Malfunction,Low
9/14/2023,Slips,Medium
9/15/2023,Fall,Medium
9/16/2023,Equipment Malfunction,Low
9/17/2023,Fall,Low
9/18/2023,Fall,Medium
9/19/2023,Slips,High
9/20/2023,Equipment Malfunction,Medium
9/21/2023,Equipment Malfunction,Low
9/22/2023,Slips,Medium
9/23/2023,Slips,Low
9/24/2023,Equipment Malfunction,Medium
9/25/2023,Equipment Malfunction,High
9/26/2023,Slips,Medium
9/27/2023,Fall,Medium
9/28/2023,Fall,Low
9/29/2023,Slips,Low
9/30/2023,Fall,Low
10/1/2023,Slips,Medium
10/2/2023,Fall,High
10/3/2023,Fall,Low
10/4/2023,Equipment Malfunction,Low
10/5/2023,Equipment Malfunction,Medium
10/6/2023,Fall,Low
10/7/2023,Fall,High
10/8/2023,Equipment Malfunction,High
10/9/2023,Equipment Malfunction,Low
10/10/2023,Equipment Malfunction,Low
10/11/2023,Slips,Medium
10/12/2023,Fall,High
10/13/2023,Equipment Malfunction,High
10/14/2023,Fall,Low
10/15/2023,Slips,Medium
10/16/2023,Slips,High
10/17/2023,Equipment Malfunction,High
10/18/2023,Slips,Medium
10/19/2023,Fall,Medium
10/20/2023,Equipment Malfunction,High
10/21/2023,Fall,High
10/22/2023,Fall,Medium
10/23/2023,Slips,High
10/24/2023,Slips,Low
10/25/2023,Slips,Low
10/26/2023,Slips,Medium
10/27/2023,Slips,Medium
10/28/2023,Equipment Malfunction,Medium
10/29/2023,Fall,Low
10/30/2023,Fall,High
10/31/2023,Fall,Low
11/1/2023,Fall,High
11/2/2023,Slips,Low
11/3/2023,Fall,High
11/4/2023,Equipment Malfunction,Low
11/5/2023,Equipment Malfunction,Medium
11/6/2023,Fall,Low
11/7/2023,Fall,High
11/8/2023,Equipment Malfunction,Low
11/9/2023,Equipment Malfunction,Low
11/10/2023,Slips,Low
11/11/2023,Equipment Malfunction,Medium
11/12/2023,Slips,Low
11/13/2023,Slips,Medium
11/14/2023,Slips,Medium
11/15/2023,Slips,Low
11/16/2023,Slips,Low
11/17/2023,Fall,Low
11/18/2023,Equipment Malfunction,High
11/19/2023,Slips,Low
11/20/2023,Equipment Malfunction,Medium
11/21/2023,Equipment Malfunction,Low
11/22/2023,Slips,High
11/23/2023,Fall,Low
11/24/2023,Slips,High
11/25/2023,Fall,High
11/26/2023,Equipment Malfunction,Low
11/27/2023,Fall,Medium
11/28/2023,Fall,High
11/29/2023,Fall,Low
11/30/2023,Equipment Malfunction,Low
12/1/2023,Equipment Malfunction,Medium
12/2/2023,Fall,High
12/3/2023,Fall,High
12/4/2023,Slips,Low
12/5/2023,Fall,Low
12/6/2023,Slips,Medium
12/7/2023,Fall,Medium
12/8/2023,Slips,High
12/9/2023,Equipment Malfunction,High
12/10/2023,Fall,Low
12/11/2023,Fall,High
12/12/2023,Fall,Medium
12/13/2023,Fall,Medium
12/14/2023,Slips,Low
12/15/2023,Fall,Medium
12/16/2023,Equipment Malfunction,Medium
12/17/2023,Equipment Malfunction,Medium
12/18/2023,Fall,Medium
12/19/2023,Equipment Malfunction,Low
12/20/2023,Fall,Low
12/21/2023,Fall,High
12/22/2023,Equipment Malfunction,Medium
12/23/2023,Fall,High
12/24/2023,Equipment Malfunction,Low
12/25/2023,Slips,Low
12/26/2023,Fall,Low
12/27/2023,Slips,Low
12/28/2023,Equipment Malfunction,Low
12/29/2023,Slips,Low
12/30/2023,Slips,Low
12/31/2023,Equipment Malfunction,Medium
